Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
CRR,"Carbo Ceramics, Inc.",8.18,222065290.3,n/a,United States,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/crr
CSV,"Carriage Services, Inc.",24.97,417499523.7,n/a,United States,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/csv
CE,Celanese Corporation,104.19,14329637037,n/a,United States,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ce
CEN,Center Coast MLP & Infrastructure Fund,10.28,224238256.8,n/a,United States,2013,n/a,n/a,http://www.nasdaq.com/symbol/cen
CNP,"CenterPoint Energy, Inc.",29.2,12585912509,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cnp
CHKR,Chesapeake Granite Wash Trust,2.1,98175000,n/a,United States,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chkr
CNK,Cinemark Holdings Inc,36.49,4249918926,n/a,United States,2007,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/cnk
CIA,"Citizens, Inc.",7.67,384127620.8,n/a,United States,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/cia
CCO,"Clear Channel Outdoor Holdings, Inc.",4.05,1468252470,n/a,United States,2005,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cco
CIE,"Cobalt International Energy, Inc.",1.69,50510603.39,n/a,United States,2009,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cie
CMA.WS,Comerica Incorporated,n/a,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cma.ws
CMA,Comerica Incorporated,73.42,12915378278,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cma
FIX,"Comfort Systems USA, Inc.",34.75,1295745143,n/a,United States,1997,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/fix
CMC,Commercial Metals Company,18.21,2108543038,n/a,United States,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cmc
CRK,"Comstock Resources, Inc.",6.02,93182225.5,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crk
CXO,Concho Resources Inc.,127.06,18895368447,n/a,United States,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cxo
COP,ConocoPhillips,49.08,59727868257,n/a,United States,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cop
CRT,Cross Timbers Royalty Trust,14.76,88560000,n/a,United States,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crt
CCI^A,Crown Castle International Corporation,1064.73,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cci^a
CCI,Crown Castle International Corporation,100.6,40870481125,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cci
